pairId,type,side,aptSeq,name,sigungu,transport,living,education,complex,total_WA
PAIR-26,"교육접근 양호 vs 열악",B,26230-43,"삼환",부산진구,20.2,7.5,13.0,53.3,23.5
PAIR-27,"교육접근 양호 vs 열악",A,26470-27,"진흥목화",연제구,56.6,52.7,85.4,28.3,55.8
PAIR-27,"교육접근 양호 vs 열악",B,26440-125,"더샵명지퍼스트월드3단지",강서구,24.2,42.3,16.0,87.5,42.5
PAIR-28,"교육접근 양호 vs 열악",A,26230-40,"초읍그린",부산진구,26.4,45.3,82.5,35.6,47.4
PAIR-28,"교육접근 양호 vs 열악",B,26530-1043,"사상구남역동원로얄듀크",사상구,58.9,51.6,21.5,78.1,52.5
PAIR-29,"교육접근 양호 vs 열악",A,26410-5,"서동현대",금정구,63.4,49.9,83.4,46.9,60.9
PAIR-29,"교육접근 양호 vs 열악",B,26530-95,"정남파크맨션",사상구,17.4,48.2,26.4,26.4,29.6
PAIR-30,"교육접근 양호 vs 열악",A,26470-212,"전원에스빌",연제구,60.8,81.8,84.4,36.8,65.9
PAIR-30,"교육접근 양호 vs 열악",B,26710-639,"청강리더스빌",기장군,68.1,53.2,24.5,56.6,50.6
PAIR-31,"생활밀집 vs sparse",A,26230-264,"삼성비치타운",부산진구,78.9,82.7,63.4,45.8,67.7
PAIR-31,"생활밀집 vs sparse",B,26710-570,"명례솔터시티",기장군,14.9,4.5,8.0,76.0,25.9
PAIR-32,"생활밀집 vs sparse",A,26230-352,"한솔폴라리스",부산진구,64.1,84.4,73.1,61.2,70.7
PAIR-32,"생활밀집 vs sparse",B,26710-666,"쌍용더플래티넘오시리아",기장군,22.5,9.2,10.4,76.3,29.6
PAIR-33,"생활밀집 vs sparse",A,26230-2443,"대동레미안더오션2",부산진구,59.5,84.3,52.5,56.3,63.1
PAIR-33,"생활밀집 vs sparse",B,26440-112,"우창더뷰",강서구,84.7,15.6,38.8,83.2,55.6
PAIR-34,"생활밀집 vs sparse",A,26470-1384,"나경위너스",연제구,79.7,83.9,64.0,50.4,69.5
PAIR-34,"생활밀집 vs sparse",B,26200-15,"동산(1106)",영도구,,3.2,20.5,26.4,16.7
PAIR-35,"생활밀집 vs sparse",A,26230-192,"보영미네르빌",부산진구,67.0,79.4,73.4,47.9,66.9
PAIR-35,"생활밀집 vs sparse",B,26290-60,"현대2",남구,27.8,8.9,62.5,50.6,37.5
PAIR-36,"생활밀집 vs sparse",A,26230-215,"HY원룸",부산진구,66.0,83.7,41.2,45.1,59.0
PAIR-36,"생활밀집 vs sparse",B,26710-91,"대변그린비치빌",기장군,17.0,4.0,82.2,40.2,35.9
PAIR-37,"tradeoff(교통 vs 주차)",A,26710-35,"현대",기장군,90.1,59.1,33.6,52.1,58.7
PAIR-37,"tradeoff(교통 vs 주차)",B,26350-104,"달맞이경동메르빌",해운대구,35.2,48.4,31.2,62.0,44.2
PAIR-38,"tradeoff(교통 vs 주차)",A,26320-27,"구포현대",북구,75.6,44.2,56.9,54.5,57.8
PAIR-38,"tradeoff(교통 vs 주차)",B,26350-2162,"해운대 I PARK",해운대구,39.5,62.9,69.7,80.4,63.1
PAIR-39,"tradeoff(교통 vs 주차)",A,26320-153,"수정강변타운",북구,71.6,41.3,47.3,63.3,55.9
PAIR-39,"tradeoff(교통 vs 주차)",B,26320-1484,"구포유림노르웨이숲2차",북구,52.4,51.0,42.7,59.0,51.3
PAIR-40,"tradeoff(교통 vs 주차)",A,26320-115,"만덕2주공",북구,77.1,54.0,66.0,53.8,62.7
PAIR-40,"tradeoff(교통 vs 주차)",B,26470-1066,"연산자이",연제구,31.1,54.6,59.8,78.8,56.1
PAIR-41,"tradeoff(교통 vs 주차)",A,26320-65,"대방",북구,76.7,64.5,50.2,46.1,59.4
PAIR-41,"tradeoff(교통 vs 주차)",B,26500-1390,"광안현대하이페리온",수영구,34.8,55.9,68.9,65.3,56.2
PAIR-42,"tradeoff(교통 vs 주차)",A,26320-117,"만덕베르빌",북구,88.5,60.0,47.8,54.9,62.8
PAIR-42,"tradeoff(교통 vs 주차)",B,26500-1389,"수영만아이파크",수영구,41.7,30.3,68.0,61.8,50.5
PAIR-43,"tradeoff(연식 vs 규모)",A,26230-2582,"가야동그린시티",부산진구,84.0,49.8,55.6,66.1,63.9
PAIR-43,"tradeoff(연식 vs 규모)",B,26350-134,"SKVIEW",해운대구,42.8,59.1,59.5,58.7,55.1
PAIR-44,"tradeoff(연식 vs 규모)",A,26230-2541,"더샵골드6",부산진구,58.1,62.2,65.6,57.8,60.9
PAIR-44,"tradeoff(연식 vs 규모)",B,26350-109,"경남선경",해운대구,37.5,57.8,65.2,62.4,55.7
PAIR-45,"tradeoff(연식 vs 규모)",A,26230-2600,"연지보해이브더파크",부산진구,37.2,56.3,67.7,69.0,57.5
PAIR-45,"tradeoff(연식 vs 규모)",B,26230-136,"엘지신개금(2-2)",부산진구,56.4,56.6,79.3,61.8,63.6
PAIR-46,"tradeoff(연식 vs 규모)",A,26230-2575,"범일역이즈",부산진구,73.9,71.0,49.5,65.9,65.1
PAIR-46,"tradeoff(연식 vs 규모)",B,26230-135,"엘지신개금(2-1)",부산진구,63.0,61.7,77.9,64.0,66.6
PAIR-47,"tradeoff(연식 vs 규모)",A,26230-2574,"개금동포르투나",부산진구,85.7,73.3,67.0,66.5,73.1
PAIR-47,"tradeoff(연식 vs 규모)",B,26230-65,"현대1차",부산진구,44.9,50.4,55.7,64.6,53.9
PAIR-48,"tradeoff(연식 vs 규모)",A,26230-2596,"연지에코팰리스",부산진구,41.6,41.6,41.3,69.9,48.6
PAIR-48,"tradeoff(연식 vs 규모)",B,26230-141,"개금주공2",부산진구,26.2,24.5,58.0,56.8,41.4
