gu,n,mean,median
강서구,40,51.7,53.3
서구,129,56.6,60.8
동래구,283,59.4,60.0
해운대구,238,51.7,53.4
부산진구,338,56.9,58.6
연제구,209,57.4,57.4
중구,43,56.1,57.9
남구,213,51.1,51.3
수영구,208,56.7,56.5
사상구,131,53.5,54.3
동구,74,55.0,58.4
영도구,117,45.3,44.8
기장군,116,48.2,49.1
북구,158,56.3,58.2
금정구,245,57.3,58.7
사하구,291,53.5,54.1
