aptSeq,name,sggCd,umdName,prodTotal,shadowTotal,prodTransport,shadowTransport
26260-54,"동남온천맨션",26260,온천동,48,48,51.19,51.54
26260-36,"한신1",26260,낙민동,51,52,69.43,70.09
26260-141,"태양연립",26260,사직동,46,46,47.45,48.12
26260-1802,"근창펠리체",26260,온천동,63,63,77.04,77.60
26260-19,"수안동신맨션",26260,수안동,41,41,23.56,23.66
26260-198,"듀오빌",26260,온천동,56,56,63.98,64.50
26260-1868,"홍림그린피아2차",26260,온천동,60,60,63.68,63.91
26260-1982,"오름파크",26260,사직동,64,64,73.19,73.42
26260-2060,"동래센트리움아파트",26260,수안동,61,60,76.46,75.92
26260-224,"대신탑스빌",26260,낙민동,50,50,49.68,48.93
26260-303,"사직리첸스빌",26260,사직동,56,56,56.59,56.65
26260-1939,"광명캐슬",26260,온천동,58,58,61.87,61.81
26260-97,"신보빌라",26260,온천동,32,32,33.88,34.44
26260-299,"미소마을",26260,사직동,56,56,68.88,68.97
26260-268,"효림시티빌",26260,온천동,48,48,43.60,44.40
26260-178,"새천년",26260,명장동,50,50,61.00,60.11
26260-185,"한신",26260,명장동,46,45,52.99,51.84
26260-179,"아림파크맨션",26260,명장동,47,47,38.09,37.15
26260-1493,"동래SKVIEW2차",26260,온천동,63,63,63.62,63.66
26260-92,"보인빌라",26260,온천동,35,,16.60,
26260-220,"개나리",26260,명장동,57,,49.55,
26260-167,"동남타워",26260,명장동,50,51,32.62,33.74
26260-83,"온천화신아파트",26260,온천동,31,31,33.65,33.81
26260-356,"동호",26260,복천동,40,40,49.55,49.55
26260-294,"유성빌라",26260,사직동,53,53,55.91,54.97
26260-1783,"허브센티움Ⅱ",26260,온천동,66,66,71.55,72.28
26260-2444,"래미안포레스티지",26260,온천동,41,41,18.26,18.24
26260-1854,"더리체",26260,온천동,63,63,68.57,69.13
26260-182,"영화맨션",26260,명장동,35,34,26.27,26.22
26260-1955,"휴림아르페",26260,온천동,69,69,88.02,88.71
26260-211,"동보스카이힐",26260,온천동,55,55,66.06,66.64
26260-1785,"용진스타티스",26260,온천동,48,48,40.84,41.59
26260-147,"삼성",26260,안락동,37,36,43.22,40.78
26260-1923,"골드리버",26260,온천동,58,58,63.74,64.19
26260-243,"한우리아트빌",26260,명륜동,52,52,62.01,60.80
26260-1906,"남영아트펠리체",26260,온천동,49,50,53.41,54.08
26260-80,"온천프라자",26260,온천동,48,48,56.32,56.50
26260-1717,"초원시티빌",26260,온천동,37,37,35.74,36.57
26260-144,"대성하이빌",26260,사직동,52,52,63.00,62.97
26260-82,"현대빌라",26260,온천동,30,30,15.42,15.74
26260-1708,"태경에버리치",26260,온천동,60,60,62.00,62.17
26260-2050,"우석쉐르빌",26260,온천동,64,64,66.96,67.46
26260-369,"삼정그린빌라",26260,온천동,57,57,62.93,63.31
26260-156,"한성기린",26260,안락동,49,48,66.21,64.15
26260-50,"금성맨션",26260,온천동,61,,90.54,
26260-145,"남흥",26260,안락동,47,45,45.92,41.82
26260-101,"평광하이츠빌",26260,온천동,51,,66.48,
26260-2116,"KH파인우스",26260,온천동,47,,36.93,
26260-1966,"에스더",26260,낙민동,56,,53.10,
26260-104,"혜성파크빌",26260,온천동,59,,69.43,
26260-25,"형제맨션",26260,수안동,35,,29.25,
26260-196,"GLG스파타운",26260,온천동,59,,75.95,
26260-266,"필라뷰",26260,온천동,30,,16.39,
26260-2443,"메종나인",26260,온천동,71,,70.08,
26260-281,"온천명화빌리지",26260,온천동,34,,41.47,
26260-2430,"지음시그너스인동래",26260,온천동,66,,55.09,
26260-233,"동래하이츠빌라",26260,수안동,49,49,56.15,56.05
26260-253,"훼밀리빌라트",26260,명륜동,35,,25.05,
26260-177,"새동양",26260,명장동,35,,35.69,
26260-222,"동래화목별동",26260,안락동,46,,66.62,
26260-154,"진흥상가",26260,안락동,38,,33.68,
26260-100,"한맥타운",26260,온천동,35,,36.16,
26260-289,"정심파크빌",26260,온천동,55,,55.74,
26260-1474,"덕경네오빌",26260,안락동,46,,24.84,
26260-22,"장미",26260,수안동,50,50,49.29,49.02
26260-4,"대토",26260,수안동,33,32,25.34,24.19
26260-1864,"상우다솜",26260,사직동,57,,56.80,
26260-2013,"부일스톤캐슬",26260,낙민동,57,,62.57,
26260-155,"충렬",26260,안락동,41,,30.48,
26260-192,"남평파크뷰",26260,온천동,57,,68.34,
26260-1858,"일성아이앤유",26260,온천동,41,36,33.80,34.40
26380-242,"몰운대",26380,다대동,58,59,62.62,64.13
26380-2038,"괴정신동아파밀리에",26380,괴정동,40,40,13.25,14.05
26260-276,"세종빌에이동",26260,온천동,37,35,16.45,16.98
26470-75,"삼경",26470,연산동,34,,26.69,
26260-297,"제세하이빌(48-7)",26260,사직동,48,48,46.71,45.94
26260-9,"삼경맨션",26260,수안동,42,42,26.47,26.87
26260-2031,"시티하임3차",26260,온천동,71,71,79.58,80.11
26260-1654,"시티하임",26260,온천동,54,54,52.90,53.45
26260-88,"태건빌리지",26260,온천동,31,31,21.01,21.10
26380-266,"동일",26380,감천동,48,48,51.38,51.24
26380-208,"강남",26380,장림동,28,28,31.73,31.53
26380-349,"동원로얄듀크",26380,장림동,37,36,17.51,17.33
26380-246,"신다대",26380,다대동,46,,61.82,
26380-1939,"e편한세상사하",26380,구평동,47,47,50.90,50.90
26380-1607,"하단지오피아",26380,하단동,42,,30.44,
26380-3007,"두산위브더제니스센트럴사하",26380,장림동,59,59,32.45,31.26
26380-239,"다송",26380,다대동,33,34,27.21,27.72
26380-1617,"다대동롯데캐슬몰운대",26380,다대동,62,63,42.54,42.92
26380-1988,"감천오펠리움아파트",26380,감천동,63,,43.42,
26380-210,"국제마마",26380,장림동,22,22,25.34,24.05
26380-1854,"다대롯데캐슬블루",26380,다대동,55,56,41.21,44.05
26380-1612,"협성르네상스",26380,장림동,60,60,59.36,59.82
26380-2084,"힐스테이트사하역",26380,괴정동,61,62,50.20,51.97
26380-1952,"당리경보이리스힐",26380,당리동,33,34,25.35,27.63
26380-255,"다대포현대",26380,다대동,47,48,29.87,30.68
26380-243,"삼환",26380,다대동,46,48,36.72,39.97
26380-254,"다대해송",26380,다대동,49,50,38.40,39.64
26380-68,"화신",26380,괴정동,34,,39.14,
26380-261,"감천유림1차",26380,감천동,55,54,44.27,43.74
26380-238,"다대푸른",26380,다대동,52,53,61.02,63.06
26380-202,"신익강변타운",26380,신평동,53,53,55.29,53.58
26380-2069,"사하코오롱하늘채",26380,신평동,38,38,19.65,20.07
26380-2113,"중앙하이츠더힐",26380,신평동,68,,47.16,
26380-1629,"효산센터빌",26380,신평동,47,,37.14,
