aptSeq,name,sigungu,transport_T1,transport_T3,total_T1,total_T3
26350-130,"신성",해운대구,49.4,44.7,53.4,52.2
26350-55,"현대(1042-2)",해운대구,44.2,39.0,54.2,52.9
26350-303,"해운대비치베르빌",해운대구,57.5,56.5,62.2,62.0
26350-132,"영남",해운대구,48.8,44.8,57.7,56.7
26230-365,"남경하이츠빌라",부산진구,55.9,53.1,59.4,58.6
26350-2229,"해운대자이1단지",해운대구,50.8,53.1,60.1,60.7
26350-2125,"해운대중동롯데캐슬마스터2",해운대구,53.5,51.8,59.7,59.2
26350-125,"벽산1",해운대구,86.5,86.7,74.2,74.2
26350-63,"참빛마을2",해운대구,56.2,54.7,57.2,56.8
26350-116,"대원",해운대구,59.1,55.2,63.2,62.3
26350-135,"LH뜨란채아파트",해운대구,45.9,40.0,58.7,57.3
26350-138,"현대",해운대구,46.7,44.7,58.8,58.3
26350-2138,"센텀파미르",해운대구,43.3,39.3,59.2,58.1
26350-189,"센텀센시빌",해운대구,58.2,55.3,50.3,49.5
26350-137,"한일",해운대구,53.3,49.0,55.2,54.1
26350-286,"아크로뷰",해운대구,57.2,54.8,62.9,62.3
26350-124,"롯데4",해운대구,44.9,40.4,58.9,57.8
26350-16,"센텀삼환Nauville",해운대구,67.8,73.5,60.2,61.6
26230-2317,"서면동일파크스위트1차",부산진구,38.5,32.3,58.6,57.0
26230-2654,"시민공원삼정그린코아더베스트",부산진구,37.7,32.8,65.2,64.0
26230-4560,"가야역롯데캐슬스카이엘",부산진구,80.3,83.0,69.2,69.8
26230-4535,"백양산서희스타힐스",부산진구,20.8,15.5,51.4,50.1
26230-116,"영진(5-43)",부산진구,80.8,80.8,59.4,59.4
26230-115,"시영",부산진구,55.9,55.9,48.5,48.5
26230-4572,"양정자이더샵SKVIEW아파트(1단지)",부산진구,55.7,53.4,64.8,64.2
26230-2457,"다해미네스트",부산진구,27.8,20.2,51.1,49.2
26230-1694,"대원칸타빌멤버스",부산진구,70.1,68.7,70.7,70.4
26230-148,"경남",부산진구,64.2,63.9,59.2,59.1
26230-2861,"초읍월드메르디앙에듀포레",부산진구,,,60.2,60.2
26230-1590,"시영(6~11동)",부산진구,42.1,38.1,54.2,53.2
26230-1824,"개금롯데캐슬",부산진구,49.0,47.7,57.8,57.5
26230-2604,"양정이즈카운티",부산진구,50.9,49.2,62.8,62.4
26230-2121,"서면동일스위트",부산진구,73.0,73.8,67.3,67.5
26230-19,"전포시영",부산진구,45.7,41.7,37.2,36.2
26230-1667,"벽산블루밍",부산진구,44.5,49.7,49.9,51.2
26230-161,"무궁화아파트101동,102동,103동,105동,106동",부산진구,17.5,13.3,48.4,47.3
26230-180,"삼정코아",부산진구,82.8,82.3,72.4,72.3
26230-2566,"삼한골든뷰센트럴파크",부산진구,65.9,65.9,68.9,68.9
26230-191,"세운이노빌",부산진구,68.6,68.8,61.1,61.2
26230-2629,"서면아이파크1단지",부산진구,57.9,55.5,66.4,65.8
26230-2373,"서면봄여름가을겨울",부산진구,61.5,63.1,61.3,61.7
26230-43,"삼환",부산진구,20.2,15.1,23.5,22.2
26230-2290,"서면유림노르웨이숲",부산진구,70.5,69.2,72.8,72.5
26230-1905,"블루스카이",부산진구,44.0,44.0,49.0,49.0
26230-50,"창신그린힐",부산진구,26.6,19.4,45.7,43.9
26230-117,"유림",부산진구,53.5,55.5,50.3,50.9
26230-1700,"가야케이티이편한세상",부산진구,71.8,75.2,64.4,65.2
26230-113,"삼우",부산진구,62.5,61.3,47.9,47.6
26230-8,"대동파크",부산진구,46.1,41.3,43.3,42.1
26230-21,"화신",부산진구,42.1,36.3,38.0,36.5
26230-2628,"개금미네스트",부산진구,65.8,64.0,65.2,64.8
26350-140,"화목데파트",해운대구,86.0,86.8,67.8,68.0
26230-35,"한신타워",부산진구,,,50.6,50.6
26230-2462,"양정역퀸즈팰리스",부산진구,74.7,76.3,68.8,69.2
26230-98,"태우선파크",부산진구,21.7,16.1,48.3,46.9
26230-2571,"골든팰리스더리치",부산진구,70.0,71.2,68.9,69.2
26230-2359,"한울트라움아파트",부산진구,26.0,19.0,56.2,54.5
26230-132,"성도빌라",부산진구,35.1,31.9,41.7,40.9
26230-73,"미주",부산진구,26.5,19.3,43.5,41.7
26230-2630,"서면아이파크2단지",부산진구,57.6,55.0,63.0,62.3
26230-2399,"세원수아파트",부산진구,78.5,80.6,59.8,60.4
26230-150,"로얄",부산진구,39.4,39.4,40.3,40.3
26230-121,"진일",부산진구,49.3,48.0,47.0,46.7
26230-1642,"개금주공3단지(518-0)",부산진구,31.8,30.4,50.2,49.9
26230-90,"무궁화(108-116동)",부산진구,17.2,13.1,49.1,48.1
26230-2407,"스윗팰리스",부산진구,40.4,35.2,43.8,42.5
26260-2098,"포레나동래",동래구,83.6,85.1,66.2,66.6
26350-2134,"더샵센텀스타",해운대구,83.0,82.5,66.3,66.2
26350-22,"센텀현대",해운대구,55.5,59.7,51.8,52.9
26350-2257,"해운대래미안",해운대구,42.7,39.9,61.1,60.4
26350-2120,"대우트럼프월드마린",해운대구,32.6,30.5,48.8,48.3
26350-164,"센텀SKVIEW아파트",해운대구,37.8,32.3,61.1,59.7
26350-159,"센텀자유",해운대구,27.5,20.0,46.0,44.1
26350-2118,"센텀우신골든빌",해운대구,47.9,47.8,61.1,61.1
26350-2372,"해운대센텀트루엘1단지",해운대구,29.0,21.0,53.4,51.4
26350-274,"삼안스튜디오2000",해운대구,22.2,16.4,30.0,28.6
26350-28,"센텀글로리아",해운대구,21.9,16.3,38.3,36.9
26350-2206,"해운대경동제이드",해운대구,56.2,53.3,53.5,52.8
26350-51,"재송동코오롱",해운대구,20.8,20.7,39.7,39.7
26350-142,"경동지-플러스",해운대구,75.8,74.1,69.4,68.9
26350-30,"남성선파크",해운대구,27.4,19.9,49.2,47.3
26350-113,"대림3",해운대구,61.6,61.4,57.9,57.8
26350-2377,"럭키골든스위트",해운대구,59.2,58.7,66.2,66.1
26350-2334,"센텀경동리인",해운대구,59.4,63.2,55.4,56.4
26350-2335,"해운대경보이리스힐아파트",해운대구,14.0,11.0,27.0,26.3
26230-2155,"가야동원로얄듀크",부산진구,74.7,75.3,58.4,58.5
26350-2378,"엘시티",해운대구,32.7,32.9,55.0,55.0
26440-26,"지사금강펜테리움",강서구,23.5,17.3,50.0,48.5
26440-22,"엘크루블루오션",강서구,24.3,17.8,55.9,54.3
26440-125,"더샵명지퍼스트월드3단지",강서구,24.2,17.8,42.5,40.9
26440-82,"명지국제신도시호반베르디움2차",강서구,26.7,19.5,56.9,55.1
26440-123,"더샵명지퍼스트월드2단지",강서구,25.6,18.7,44.8,43.1
26440-76,"명지협성휴포레",강서구,23.8,17.5,51.4,49.9
26440-47,"명지1차 금강펜테리움 센트럴파크",강서구,25.5,18.7,53.9,52.2
26440-23,"명지두산위브포세이돈",강서구,29.3,21.2,58.0,56.0
26440-56,"명지국제신도시호반베르디움1차",강서구,27.9,20.3,60.3,58.4
26440-18,"퀸덤1차링컨타운",강서구,30.2,21.8,53.3,51.2
26440-59,"명지2차금강펜테리움센트럴파크",강서구,25.9,18.9,51.5,49.8
26440-111,"e편한세상명지",강서구,25.0,18.3,48.3,46.7
26440-109,"더힐시그니처",강서구,27.5,20.0,62.9,61.1
26440-90,"지사과학삼정그린코아",강서구,18.4,13.9,43.7,42.6
26230-119,"가야일산주택",부산진구,41.0,39.9,46.6,46.3
26230-149,"대원아파트",부산진구,64.9,67.4,60.4,61.0
26230-5,"동원",부산진구,36.5,36.5,47.5,47.5
26230-4549,"시민공원비스타동원",부산진구,,,66.6,66.6
26230-2865,"서면서한이다음",부산진구,38.3,42.6,53.5,54.5
26230-215,"HY원룸",부산진구,66.0,64.3,59.3,58.8
26230-2206,"범내골역한라비발디STUDIO422",부산진구,66.9,66.8,69.4,69.4
26230-100,"태화현대2",부산진구,57.9,61.7,54.6,55.6
26440-72,"명진파크뷰",강서구,29.3,21.2,41.2,39.2
26440-95,"유나베네스2차",강서구,19.1,14.4,35.5,34.3
26440-61,"명지대방노블랜드오션뷰2차",강서구,25.6,18.7,59.0,57.3
26440-102,"부산명지중흥S-클래스에듀오션",강서구,27.9,20.3,61.5,59.6
26440-108,"스위트팰리스",강서구,25.4,18.6,53.4,51.7
26440-45,"에일린의 뜰",강서구,25.3,18.6,59.0,57.3
26440-77,"부산명지중흥S-클래스프라디움",강서구,28.8,20.9,60.5,58.6
26440-17,"퀸덤1차에디슨타운",강서구,29.6,21.4,52.1,50.0
26440-37,"엘크루솔마레",강서구,21.0,15.6,40.5,39.2
26440-33,"명지오션시티한신휴플러스",강서구,21.6,16.1,49.2,47.9
26440-15,"극동스타클래스",강서구,24.9,18.2,52.7,51.0
26440-32,"명지오션시티삼정그린코아",강서구,27.9,20.3,53.3,51.4
26440-16,"롯데캐슬",강서구,29.4,21.3,52.2,50.1
26440-58,"명지대방노블랜드오션뷰1차",강서구,23.9,17.6,62.0,60.4
26440-14,"부산신호윌더하임",강서구,28.5,20.7,41.1,39.2
