aptSeq,name,sigungu,transport_T1,transport_T3,total_T1,total_T3
26230-2120,"강진융프라우",부산진구,81.2,83.0,70.4,70.9
26350-35,"센텀삼익아파트",해운대구,65.8,64.8,61.7,61.4
26230-254,"한신센타뷰",부산진구,60.0,57.9,57.1,56.5
26230-357,"경동",부산진구,18.8,14.2,44.8,43.6
26230-2325,"수목하우스",부산진구,88.7,89.3,72.2,72.3
26230-2395,"동양팰리스",부산진구,56.4,52.9,63.0,62.1
26230-1703,"서면이-편한세상",부산진구,75.7,78.3,69.4,70.0
26230-2428,"개금역스마트더블유",부산진구,71.9,70.7,67.6,67.3
26230-2603,"협성휴포레시티즌파크",부산진구,27.6,20.1,58.1,56.2
26230-2523,"개금역금강펜테리움더스퀘어아파트",부산진구,88.6,89.3,78.4,78.6
26230-2641,"시민공원일동미라주시티",부산진구,41.8,35.2,61.3,59.7
26230-133,"시영(1~5동)",부산진구,49.2,44.4,54.5,53.3
26230-179,"경원프라우드-2",부산진구,78.8,78.8,65.8,65.8
26230-243,"서면베르빌2",부산진구,75.7,75.7,63.1,63.1
26230-2856,"롯데캐슬라센트",부산진구,,,64.0,64.0
26500-1368,"카라디움",수영구,67.7,67.7,56.8,56.8
26230-36,"화인",부산진구,27.1,19.7,38.3,36.5
26230-85,"화승",부산진구,25.7,18.8,56.5,54.8
26230-1861,"더샵센트럴스타",부산진구,59.7,56.3,60.5,59.6
26230-2070,"백양산삼정그린코아",부산진구,11.9,9.6,39.8,39.2
26230-2599,"서면3차봄여름가을겨울",부산진구,68.7,69.2,65.8,65.9
26230-55,"한일맨션",부산진구,23.9,17.6,43.4,41.8
26230-1706,"현호네오빌",부산진구,58.6,57.7,63.2,63.0
26230-212,"한웅인터빌",부산진구,72.1,73.5,68.3,68.7
26230-2645,"서면스위트엠골드에비뉴",부산진구,65.0,64.0,67.6,67.4
26230-1709,"일동미라주",부산진구,40.8,35.4,54.7,53.4
26230-87,"국제프라자",부산진구,28.6,20.7,44.9,43.0
26230-58,"백조",부산진구,82.5,83.3,65.1,65.3
26230-86,"국제백양",부산진구,24.9,18.2,44.1,42.4
26230-31,"세동한신",부산진구,25.6,18.7,47.8,46.1
26230-1636,"타워베르빌",부산진구,45.3,39.4,61.1,59.6
26230-145,"현대",부산진구,38.5,35.4,45.2,44.4
26230-128,"동원화인패밀리",부산진구,25.0,18.3,51.0,49.3
26230-89,"동원타워",부산진구,26.6,19.4,46.2,44.4
26230-2574,"개금동포르투나",부산진구,85.7,85.4,73.1,73.0
26230-106,"동원",부산진구,38.3,36.9,53.1,52.7
26230-124,"화신",부산진구,51.1,50.6,54.3,54.2
26230-11,"서면한신",부산진구,70.6,69.1,67.6,67.2
26230-2434,"양정클래스원",부산진구,76.3,75.4,68.0,67.7
26230-239,"쌍용스윗닷홈",부산진구,17.4,13.3,43.7,42.7
26230-363,"글로벌타워",부산진구,86.4,86.5,68.3,68.3
26230-2845,"서면롯데캐슬엘루체",부산진구,62.3,64.1,77.4,77.8
26500-1809,"성우센텀스카이뷰비",수영구,58.2,56.1,55.5,54.9
26230-221,"블루스카이빌(159-3)",부산진구,25.9,19.0,50.5,48.7
26230-2596,"연지에코팰리스",부산진구,41.6,36.6,48.4,47.2
26230-2291,"산들파르테",부산진구,61.3,63.3,60.4,60.9
26230-109,"벽산2",부산진구,39.2,36.7,51.7,51.1
26230-2459,"서면동일파크스위트2차",부산진구,24.9,18.3,57.8,56.1
26230-1673,"백양산월드메르디앙",부산진구,25.1,18.4,48.1,46.5
26230-2850,"e편한세상시민공원1단지",부산진구,53.2,48.8,61.0,59.9
26230-2555,"리츠캐슬",부산진구,59.4,59.1,67.4,67.3
26230-26,"로얄",부산진구,20.8,20.8,46.9,46.9
26230-352,"한솔폴라리스",부산진구,64.1,64.1,70.4,70.4
26230-99,"태화현대1",부산진구,76.8,80.4,59.3,60.2
26230-97,"백양푸른채",부산진구,25.9,18.9,40.1,38.4
26230-40,"초읍그린",부산진구,26.4,19.3,46.9,45.1
26230-1733,"쌍용스윗닷홈스카이",부산진구,47.8,44.3,59.3,58.5
26230-245,"서면노르웨이아침",부산진구,59.2,59.1,61.3,61.3
26230-2368,"홍림로얄뷰",부산진구,78.9,78.9,60.9,60.9
26230-230,"부암동리젠트힐",부산진구,35.8,35.8,52.4,52.4
26230-2305,"다온미즈",부산진구,53.6,49.7,61.5,60.6
26230-1751,"연지자이",부산진구,20.4,15.2,50.8,49.6
26230-246,"대우디오빌1",부산진구,84.6,86.5,66.3,66.8
26230-1995,"가야삼한사랑채",부산진구,65.1,68.4,57.2,58.1
26530-1012,"사상센텀아파트",사상구,64.8,66.1,66.6,67.0
26530-1021,"대상로웰아파트",사상구,86.1,87.8,68.5,68.9
26230-2565,"에스제이파베르",부산진구,67.1,67.2,65.2,65.2
26230-1976,"범일역풍림아이원",부산진구,56.4,57.7,65.3,65.6
26230-42,"대진파레스필즈",부산진구,23.8,17.5,22.5,20.9
26230-75,"삼부본동",부산진구,45.3,39.4,48.8,47.4
26230-2461,"대동레미안더오션",부산진구,58.0,57.0,60.8,60.5
26230-1999,"동아블루시아",부산진구,24.0,17.7,51.2,49.6
26230-91,"백산",부산진구,,,54.5,54.5
26230-1998,"서면센트리움",부산진구,54.5,54.1,55.3,55.1
26230-1669,"롯데갤러리움",부산진구,60.5,60.5,66.6,66.6
26230-170,"동연아미가",부산진구,75.7,74.6,66.9,66.6
26230-81,"일성인포",부산진구,46.3,40.7,58.5,57.1
26230-67,"송백그린",부산진구,71.3,70.7,64.6,64.5
26230-1634,"신화골든뷰",부산진구,57.4,55.4,60.2,59.7
26230-178,"동조리젠시",부산진구,48.5,47.0,54.2,53.9
26230-2328,"한진스카이뷰",부산진구,69.0,69.3,66.1,66.2
26230-2316,"골든엠파이어",부산진구,82.8,83.1,62.0,62.0
26230-242,"대원플러스빌",부산진구,86.5,87.7,68.3,68.6
26230-2527,"세원秀아파트",부산진구,,,60.8,60.8
26230-39,"덕인디오네빌",부산진구,41.1,35.6,48.1,46.8
26230-30,"삼익아파트",부산진구,28.7,20.8,42.8,40.8
26350-133,"해운대 센트럴파크",해운대구,46.4,41.1,58.9,57.6
26230-1641,"삼익(10,11동)",부산진구,41.0,37.8,50.4,49.6
26230-2560,"서면루미랑스",부산진구,56.7,56.2,60.3,60.2
26530-1046,"천아하늘정원",사상구,59.1,56.5,67.5,66.8
26230-2593,"가야누리애더센트리즈",부산진구,66.9,67.6,69.6,69.8
26230-2624,"서면지원더뷰파크",부산진구,45.4,42.8,60.3,59.7
26230-2387,"성원더프라임아파트",부산진구,64.4,66.2,65.9,66.4
26230-264,"삼성비치타운",부산진구,78.9,78.7,68.0,67.9
26230-217,"탑패밀리",부산진구,86.5,87.9,68.9,69.3
26230-2853,"서면동원시티비스타",부산진구,88.7,88.7,76.2,76.2
26230-2567,"전포유림노르웨이숲",부산진구,66.0,64.8,68.0,67.7
26230-1592,"개금우드빌(1-9)",부산진구,27.8,20.2,42.8,40.9
26230-78,"성암",부산진구,43.5,40.1,48.5,47.7
26230-226,"화지빌라트",부산진구,23.5,17.3,37.3,35.8
26230-92,"삼성",부산진구,28.6,20.7,48.7,46.8
26230-2583,"대능더에스티지",부산진구,65.5,64.0,68.7,68.3
26230-1672,"유림노르웨이숲",부산진구,21.4,15.9,42.4,41.0
26230-1974,"서면엘리시움",부산진구,68.3,67.8,67.1,66.9
26230-122,"한일하나로",부산진구,42.5,41.6,53.0,52.8
26350-2216,"센텀협성르네상스타운",해운대구,65.2,64.4,65.5,65.3
26230-1690,"한일유앤아이(890-1)",부산진구,76.6,77.5,66.9,67.1
26230-207,"서면베스트빌",부산진구,71.5,72.1,60.1,60.2
26230-22,"화신거화",부산진구,44.1,38.2,37.3,35.8
26230-2250,"수정캐슬",부산진구,67.3,66.6,66.7,66.5
26230-167,"새롬하이빌2차",부산진구,55.7,56.0,53.2,53.2
26230-2385,"서면팰리스",부산진구,63.9,61.8,59.1,58.6
26230-2270,"유성해네스타워",부산진구,82.1,83.8,71.4,71.8
26230-2549,"개금동아이리스5차애비뉴",부산진구,72.8,72.1,65.3,65.1
26230-389,"대훈아트빌",부산진구,36.7,36.7,47.3,47.3
26230-2440,"더샵골드5",부산진구,63.6,61.8,64.6,64.2
26230-1591,"시영(12~17동)",부산진구,47.9,42.4,54.7,53.3
26230-2546,"우일아내트",부산진구,61.6,63.1,65.8,66.2
26230-154,"세인한아름",부산진구,41.8,41.2,43.1,42.9
26230-28,"봉황",부산진구,25.2,18.5,48.3,46.6
26230-205,"동광하이빌(106)",부산진구,55.5,54.3,52.4,52.1
26230-375,"골든",부산진구,59.5,59.3,56.0,55.9
26230-2343,"평광우리가",부산진구,62.6,62.6,61.7,61.7
26230-126,"대동",부산진구,5.9,5.6,41.7,41.6
