aptSeq,name,sigungu,ageBand,hhBand,parkingStatus,total_WA,complex
26530-963,"대성캐슬",사상구,0-10,<100,MISSING,61.2,53.7
26530-1083,"파크블루11차",사상구,0-10,100-299,MISSING,68.1,68.5
26530-63,"송림주택",사상구,31+,<100,KNOWN,56.3,25.6
26530-50,"엄궁한신1차",사상구,21-30,100-299,KNOWN,40.2,49.1
26530-1148,"보해썬시티리버파크",사상구,0-10,100-299,KNOWN,70.3,77.2
26530-109,"주은타워빌",사상구,21-30,<100,MISSING,62.3,45.9
26530-25,"모라A",사상구,31+,<100,MISSING,41.8,22.3
26530-38,"한일",사상구,31+,<100,MISSING,41.8,29.4
26530-57,"동일",사상구,31+,100-299,MISSING,62.4,43.6
26530-942,"강일프라임빌",사상구,11-20,<100,MISSING,59.3,52.7
26530-981,"사상역이즈팰리스",사상구,0-10,<100,MISSING,57.6,58.0
26710-640,"일광대성베르힐",기장군,0-10,500-999,KNOWN,44.0,80.7
26710-630,"일광자이푸르지오1단지",기장군,0-10,300-499,KNOWN,61.0,79.7
26710-608,"정관가화만사성더테라스2차",기장군,0-10,300-499,KNOWN,51.6,75.7
26710-484,"정관동일스위트1차",기장군,11-20,1000+,KNOWN,66.0,76.4
26710-598,"정관가화만사성더테라스1차",기장군,0-10,300-499,KNOWN,52.2,75.3
26530-1080,"스카이뷰",사상구,0-10,unknown,MISSING,52.0,85.6
26530-14,"대하덕포(1호동)",사상구,31+,unknown,MISSING,47.6,16.8
26530-123,"삼화그린빌",사상구,21-30,unknown,MISSING,63.7,51.4
26530-1669,"엘메르",사상구,0-10,unknown,MISSING,71.7,94.0
26530-147,"삼광(585-77)",사상구,21-30,unknown,MISSING,38.2,53.2
26530-19,"아카페타운",사상구,31+,unknown,MISSING,62.3,35.2
26530-131,"삼광(585-78)",사상구,21-30,unknown,MISSING,38.4,53.2
26530-1040,"괘법동포르투나",사상구,0-10,unknown,MISSING,70.9,83.2
26530-1081,"사상역포르투나더테라스",사상구,0-10,unknown,MISSING,72.9,88.0
26710-418,"이진캐스빌블루1차",기장군,11-20,500-999,KNOWN,51.1,72.5
26710-2,"부전타워",기장군,31+,<100,MISSING,46.6,35.4
26710-546,"동부산쏠마레",기장군,11-20,100-299,KNOWN,34.2,58.0
26710-398,"정관신도시계룡리슈빌",기장군,11-20,300-499,KNOWN,55.7,68.8
26710-510,"정관동일스위트2차",기장군,11-20,1000+,KNOWN,50.9,77.4
26710-29,"한신",기장군,31+,1000+,MISSING,59.1,60.9
26710-637,"일광한신더휴센트럴포레1단지",기장군,0-10,500-999,KNOWN,52.0,80.6
26710-639,"청강리더스빌",기장군,0-10,<100,MISSING,50.6,56.6
26710-555,"이지더원3차",기장군,11-20,1000+,KNOWN,48.2,79.9
26710-503,"정관1차동원로얄듀크",기장군,11-20,1000+,KNOWN,49.4,74.7
26710-635,"일광신도시비스타동원1차",기장군,0-10,500-999,KNOWN,61.8,85.9
26710-631,"일광자이푸르지오2단지",기장군,0-10,1000+,KNOWN,61.1,84.5
26710-513,"정관2차동원로얄듀크",기장군,11-20,1000+,KNOWN,49.0,75.6
26710-629,"e편한세상일광",기장군,0-10,500-999,KNOWN,60.8,83.8
26710-651,"웨이브리즈",기장군,0-10,500-999,KNOWN,35.2,84.6
26710-605,"경보그랜드비치",기장군,0-10,100-299,KNOWN,43.5,63.3
26710-636,"일광한신더휴센트럴포레2단지",기장군,0-10,500-999,KNOWN,54.8,82.8
26710-35,"현대",기장군,31+,500-999,KNOWN,58.7,52.1
26710-399,"정관신도시롯데캐슬",기장군,11-20,500-999,KNOWN,57.0,73.5
26710-443,"이지더원",기장군,11-20,500-999,KNOWN,52.0,74.2
26710-504,"정관롯데캐슬2차",기장군,11-20,500-999,KNOWN,53.8,79.4
26710-574,"정관양우내안愛",기장군,0-10,500-999,KNOWN,48.9,76.2
26710-633,"이지더원1차오션포레",기장군,0-10,500-999,KNOWN,54.5,80.6
26710-1,"문화그린맨션",기장군,31+,300-499,KNOWN,43.1,43.7
26710-520,"정관협성르네상스타운",기장군,11-20,300-499,KNOWN,52.3,75.0
26710-25,"동산그린타워",기장군,31+,100-299,MISSING,48.8,37.1
26710-549,"가화만사성정관타운",기장군,11-20,500-999,KNOWN,34.2,71.2
26710-642,"일광신도시비스타동원2차",기장군,0-10,500-999,KNOWN,56.4,87.5
26710-400,"정관신도시한진해모로",기장군,11-20,500-999,KNOWN,58.7,74.2
26710-421,"서희스타힐스",기장군,11-20,300-499,KNOWN,44.8,68.1
26710-6,"태영",기장군,31+,300-499,MISSING,50.5,54.2
26710-409,"정관센트럴파크",기장군,11-20,500-999,KNOWN,58.3,68.8
26710-79,"이진캐스빌골드",기장군,21-30,100-299,KNOWN,50.2,57.4
26710-9,"금강궁전",기장군,31+,100-299,KNOWN,43.6,38.3
26710-566,"부산정관지구이지더원5차아파트",기장군,11-20,300-499,KNOWN,36.6,71.6
26710-32,"서부주공",기장군,21-30,500-999,KNOWN,54.5,59.6
26710-437,"가화일광타워",기장군,11-20,300-499,KNOWN,42.2,64.6
26710-595,"정관이진캐스빌2차",기장군,0-10,100-299,KNOWN,47.3,69.9
26710-593,"동부산관광단지삼정그린코아더베스트",기장군,0-10,500-999,KNOWN,45.6,76.0
26710-402,"정관현진에버빌",기장군,11-20,500-999,KNOWN,57.0,74.3
26710-571,"현대프라힐스 동부산",기장군,0-10,300-499,KNOWN,49.1,73.8
26710-427,"이진캐스빌블루2차",기장군,11-20,100-299,KNOWN,49.7,61.3
26710-408,"동부산동원로얄듀크",기장군,11-20,100-299,KNOWN,46.6,62.6
26710-34,"청강주공",기장군,31+,500-999,MISSING,28.9,51.0
26710-483,"이지더원2차",기장군,11-20,500-999,KNOWN,46.6,73.0
26710-14,"황중베르빌",기장군,21-30,<100,MISSING,43.2,35.2
26710-544,"이진캐스빌",기장군,11-20,500-999,KNOWN,58.5,72.3
26710-646,"기장유림노르웨이숲",기장군,0-10,100-299,KNOWN,52.5,68.5
26710-44,"우신네오빌",기장군,21-30,500-999,KNOWN,36.9,61.3
26710-46,"이진캐스빌",기장군,21-30,300-499,KNOWN,46.2,57.7
26710-30,"애경아트빌",기장군,21-30,<100,MISSING,56.0,35.5
26710-609,"두산위브더테라스",기장군,0-10,100-299,KNOWN,32.3,70.8
26710-390,"수신",기장군,11-20,<100,MISSING,42.1,46.6
26710-528,"고촌센트럴아파트",기장군,11-20,300-499,KNOWN,56.0,71.6
26710-50,"동보시티빌",기장군,21-30,<100,MISSING,57.1,36.4
26710-401,"정관신동아파밀리에",기장군,11-20,500-999,KNOWN,58.0,73.2
26710-603,"동부산렉슬",기장군,0-10,<100,MISSING,53.3,55.0
26710-45,"이진스카이빌",기장군,21-30,100-299,KNOWN,53.6,53.3
26710-119,"서린에코빌아파트",기장군,31+,<100,KNOWN,54.4,30.1
26710-63,"노이하우스2차",기장군,21-30,<100,MISSING,41.2,37.4
26710-64,"노이하우스3차",기장군,21-30,<100,MISSING,44.9,37.2
26710-7,"가화랜드빌",기장군,21-30,<100,MISSING,48.3,39.4
26710-77,"부강빌라가동",기장군,21-30,unknown,MISSING,52.7,47.8
26710-423,"정도한스빌",기장군,11-20,unknown,MISSING,53.0,71.6
26710-611,"페리II",기장군,0-10,unknown,MISSING,61.5,80.8
26710-37,"세흥비치",기장군,31+,<100,MISSING,30.2,30.1
26710-497,"동부스위트",기장군,11-20,<100,MISSING,62.9,49.8
26710-498,"금광타워",기장군,11-20,<100,MISSING,56.3,50.1
26710-512,"동국에버리치",기장군,11-20,<100,MISSING,55.2,50.2
26710-666,"쌍용더플래티넘오시리아",기장군,0-10,100-299,KNOWN,29.6,76.3
26710-384,"씨엘늘채움",기장군,11-20,100-299,KNOWN,38.1,54.3
26710-538,"베로나",기장군,11-20,<100,MISSING,45.7,48.9
26710-547,"비룡벨로스텔라",기장군,11-20,<100,MISSING,38.7,53.3
26710-558,"노블비치",기장군,21-30,<100,MISSING,26.8,36.6
26710-575,"삼화펠리스힐아파트",기장군,0-10,<100,MISSING,48.0,52.3
26710-41,"재흥",기장군,31+,100-299,MISSING,24.4,39.4
26710-78,"테마하이츠빌",기장군,21-30,<100,MISSING,40.2,36.4
26710-58,"부산기장포스코더샵",기장군,21-30,100-299,KNOWN,55.4,51.3
26710-40,"성림",기장군,31+,<100,KNOWN,25.1,27.3
26710-54,"월드파크A동",기장군,21-30,unknown,MISSING,56.4,51.4
26710-69,"가화만사성4차",기장군,21-30,unknown,MISSING,47.5,51.4
26710-52,"금강센스빌제101동",기장군,21-30,unknown,MISSING,54.9,49.6
26350-174,"경동",해운대구,31+,unknown,MISSING,34.6,35.2
26140-1233,"에코팰리스3",서구,0-10,<100,MISSING,57.1,59.0
26440-44,"협성·DS엘리시안",강서구,11-20,1000+,KNOWN,53.7,77.4
26440-104,"명지더웨스턴",강서구,0-10,unknown,MISSING,56.1,80.8
26440-118,"명지국제신도시삼정그린코아더베스트",강서구,0-10,300-499,KNOWN,54.1,81.4
26140-1236,"헤리츠아파트3차",서구,0-10,<100,MISSING,66.1,60.5
26140-1246,"마린포시즌2차",서구,0-10,<100,MISSING,58.5,58.8
26140-212,"봄여름가을겨울",서구,21-30,100-299,MISSING,70.7,56.7
26140-1228,"서대신부백자연애",서구,0-10,<100,MISSING,65.4,59.4
26140-1289,"동대신역비스타동원아파트",서구,0-10,500-999,KNOWN,59.2,80.0
26140-193,"부민e편한세상",서구,21-30,500-999,KNOWN,60.6,63.7
26710-98,"동우그린빌라가동",기장군,21-30,unknown,MISSING,52.1,44.2
26710-85,"지우센텀",기장군,21-30,unknown,MISSING,44.1,49.6
26710-73,"금강궁전-1",기장군,31+,unknown,MISSING,43.1,28.0
26710-541,"리츠빌리지",기장군,11-20,unknown,MISSING,38.1,71.6
26710-540,"리츠빌리지",기장군,11-20,unknown,MISSING,48.3,71.6
26140-1129,"대신공원한신휴플러스",서구,11-20,300-499,KNOWN,57.9,69.0
26140-51,"협성르네상스",서구,21-30,300-499,KNOWN,64.0,64.8
26140-115,"송도혜성비치타운",서구,31+,100-299,MISSING,25.1,41.0
26140-31,"신우빌라",서구,21-30,<100,MISSING,63.4,33.1
26140-97,"삼경빌라맨션",서구,31+,100-299,KNOWN,46.1,35.0
26140-920,"송도봄여름가을겨울",서구,11-20,<100,MISSING,43.2,48.5
26140-1283,"충무대로봄여름가을겨울",서구,0-10,100-299,KNOWN,60.9,72.4
26140-1196,"송도서린엘마르",서구,0-10,100-299,KNOWN,29.8,65.1
26140-40,"남성한빛가든",서구,21-30,500-999,KNOWN,50.0,54.1
26140-928,"송도동일스위트",서구,11-20,100-299,KNOWN,39.6,53.9
26140-121,"한성빌라",서구,21-30,<100,MISSING,52.8,34.5
26140-18,"정림파크",서구,31+,<100,MISSING,45.7,27.9
26140-99,"송도삼정비치맨션",서구,31+,100-299,MISSING,38.3,33.9
26140-177,"아크로폴리스",서구,21-30,<100,MISSING,62.6,45.4
26140-2,"진흥목화",서구,21-30,<100,MISSING,62.5,36.7
26140-1149,"대신타워펠리스",서구,11-20,<100,MISSING,68.6,53.3
26140-82,"LG마린타워",서구,21-30,<100,MISSING,39.1,43.1
26140-143,"에메랄드21",서구,21-30,<100,MISSING,65.5,34.7
26140-1040,"서영펠로우",서구,11-20,<100,MISSING,66.8,45.3
26140-103,"신익별장",서구,31+,100-299,KNOWN,44.1,31.3
26140-1190,"한성그린아파트",서구,0-10,<100,MISSING,71.7,52.9
26140-104,"송도자유비치",서구,21-30,100-299,MISSING,49.3,51.9
26140-73,"대림비치",서구,21-30,300-499,KNOWN,37.4,56.3
26140-26,"대진골든빌리지",서구,31+,unknown,MISSING,58.0,24.8
26140-1272,"서대신부백더자연애아파트",서구,0-10,unknown,MISSING,75.0,83.2
26140-66,"남부",서구,31+,<100,MISSING,55.3,20.0
26140-175,"서원비동",서구,21-30,unknown,MISSING,65.7,47.8
26140-142,"영촌아트빌",서구,21-30,<100,MISSING,64.8,36.0
26140-87,"현대타운",서구,21-30,100-299,MISSING,56.1,48.5
26140-209,"구덕하이츠",서구,31+,<100,MISSING,38.2,26.9
26140-74,"대진타워맨션",서구,31+,100-299,MISSING,38.7,32.3
26140-167,"대신센츄럴타운",서구,21-30,<100,MISSING,60.8,40.7
26140-1193,"다사랑빌",서구,0-10,<100,MISSING,64.3,53.1
26140-208,"(76-0)",서구,21-30,<100,MISSING,62.5,33.5
26140-173,"서원에이동",서구,21-30,unknown,MISSING,66.1,47.8
26140-1207,"태양아르떼",서구,0-10,<100,MISSING,56.8,51.2
26140-1221,"충무에코팰리스2차",서구,0-10,<100,MISSING,62.1,58.8
26140-1337,"충무6차에코팰리스",서구,0-10,<100,MISSING,60.2,68.2
26140-191,"골든캐슬",서구,21-30,<100,MISSING,67.0,43.7
26140-90,"고려빌라맨션",서구,31+,<100,MISSING,42.8,28.9
26140-1157,"서원블루오션C동",서구,11-20,<100,MISSING,64.0,51.9
26140-159,"위너스빌",서구,21-30,<100,MISSING,61.9,36.0
26140-952,"허브센티움",서구,11-20,<100,MISSING,67.4,46.3
26140-1261,"세영엘도라도A동",서구,0-10,unknown,MISSING,73.2,80.8
26140-170,"송천",서구,31+,<100,MISSING,54.7,16.9
26140-32,"자유",서구,31+,<100,MISSING,46.2,25.8
26140-35,"향원에이스타운(79)",서구,21-30,unknown,MISSING,63.4,44.2
26140-1209,"한우리타워4차",서구,0-10,unknown,MISSING,71.5,78.4
26140-1286,"툇마루家",서구,0-10,unknown,MISSING,77.0,85.6
26140-1107,"부백자연애",서구,11-20,<100,MISSING,70.7,48.2
26140-1294,"남명더라우부용",서구,0-10,unknown,MISSING,72.7,88.0
26140-55,"대근아트",서구,21-30,<100,MISSING,60.3,32.4
26140-41,"대림e편한세상",서구,21-30,100-299,KNOWN,42.8,48.2
26140-1081,"서대신엔스타(278-2)",서구,11-20,unknown,MISSING,66.0,69.4
26140-996,"파크갤러리아파트",서구,11-20,unknown,MISSING,28.6,65.0
26140-1050,"헤리츠아파트",서구,11-20,unknown,MISSING,73.3,67.2
26140-979,"리치W도시형생활주택",서구,11-20,<100,MISSING,69.2,51.8
26140-37,"희망센츄럴타운",서구,21-30,<100,MISSING,64.2,40.1
26140-38,"구덕",서구,31+,<100,MISSING,53.0,20.8
26140-1039,"대승스위트",서구,11-20,<100,MISSING,63.4,44.9
26140-9,"카멜롯",서구,21-30,<100,MISSING,50.7,34.7
26140-62,"수근에이스타운",서구,21-30,<100,MISSING,65.1,41.6
26140-52,"화인",서구,31+,<100,MISSING,47.5,33.9
26140-45,"대윤스위트",서구,21-30,<100,MISSING,60.7,32.6
26140-100,"송도맨션",서구,31+,<100,MISSING,28.8,17.5
26140-166,"대신타워빌",서구,21-30,<100,MISSING,59.3,39.3
26140-210,"배서티안타워",서구,21-30,unknown,MISSING,60.6,53.2
26140-145,"용문빌리지",서구,21-30,unknown,MISSING,69.0,49.6
26260-2084,"동래지웰",동래구,0-10,100-299,KNOWN,49.8,67.9
26260-120,"동원",동래구,31+,100-299,MISSING,53.3,31.7
26350-2400,"해피투모로우",해운대구,0-10,unknown,MISSING,52.4,88.0
26350-2152,"해운대SKVIEW",해운대구,11-20,100-299,KNOWN,63.1,62.8
26350-218,"장산하이츠빌라",해운대구,21-30,<100,MISSING,54.9,32.4
26350-153,"그린파크",해운대구,31+,<100,MISSING,38.4,25.8
26350-2143,"현대아쿠아팰리스해운대",해운대구,11-20,100-299,MISSING,57.9,54.8
26350-52,"한보장산",해운대구,31+,<100,MISSING,37.2,32.4
26350-31,"대신맨션",해운대구,31+,<100,MISSING,56.8,36.6
26350-144,"태원빌리지",해운대구,21-30,<100,MISSING,46.3,35.0
26350-71,"동남하이츠맨션",해운대구,31+,<100,MISSING,47.4,34.7
26350-75,"삼강",해운대구,31+,unknown,MISSING,47.1,17.6
26260-2434,"더샵온천헤리티지",동래구,0-10,100-299,KNOWN,64.0,78.8
26350-241,"성우맨션",해운대구,31+,<100,MISSING,43.4,22.1
26350-2096,"해운대신시가지경동메르빌",해운대구,21-30,100-299,KNOWN,63.9,58.9
26350-2113,"뷔센하우스",해운대구,11-20,<100,MISSING,30.1,39.3
26350-2338,"센텀더세진",해운대구,0-10,<100,MISSING,61.0,54.4
26350-82,"삼주",해운대구,31+,<100,MISSING,47.2,30.5
26350-2213,"센텀시티더블유",해운대구,11-20,<100,MISSING,61.7,46.8
26350-2151,"해운대엔스타",해운대구,11-20,<100,KNOWN,55.1,50.2
26350-15,"삼호가든맨션",해운대구,31+,unknown,MISSING,49.9,19.2
26350-290,"삼보로얄캐슬",해운대구,21-30,<100,MISSING,41.0,40.1
26350-177,"광하주택3",해운대구,31+,unknown,MISSING,47.0,26.4
26350-220,"일번로얄주택",해운대구,31+,unknown,MISSING,56.7,28.0
26350-295,"영동써니",해운대구,31+,<100,MISSING,17.6,26.0
26350-2331,"남평엔시티",해운대구,0-10,<100,MISSING,40.4,56.1
26350-196,"삼한3차301동",해운대구,21-30,100-299,KNOWN,34.1,47.4
26350-148,"금강비치빌",해운대구,21-30,<100,MISSING,37.0,35.3
26350-169,"현대3",해운대구,31+,100-299,MISSING,32.9,49.7
26350-298,"청목마리안",해운대구,21-30,100-299,KNOWN,58.2,52.1
26350-2165,"해운대협성엠파이어",해운대구,11-20,<100,KNOWN,44.2,54.9
26350-57,"센텀협성",해운대구,31+,unknown,MISSING,52.6,21.6
26350-2115,"해운대한솔솔파크",해운대구,11-20,unknown,MISSING,44.1,55.0
26350-175,"광하주택A동",해운대구,31+,<100,MISSING,55.0,28.9
26350-181,"삼정그린코아",해운대구,31+,100-299,MISSING,54.5,49.2
26350-277,"백세해운대빌라1차",해운대구,31+,unknown,MISSING,30.7,35.2
26350-2296,"센텀에코하임",해운대구,11-20,<100,MISSING,59.1,52.4
26350-217,"남양로얄타운",해운대구,31+,unknown,MISSING,53.5,31.6
26350-2230,"디어하임센텀",해운대구,11-20,<100,MISSING,60.4,46.9
26350-2337,"센텀드림힐",해운대구,0-10,<100,KNOWN,54.2,55.9
26350-262,"대림엠파이어빌라",해운대구,31+,<100,MISSING,23.7,25.8
26350-179,"동삼초원",해운대구,31+,unknown,MISSING,39.2,31.6
26350-354,"장산상가맨션",해운대구,31+,unknown,MISSING,38.2,28.0
26350-252,"벨로스",해운대구,21-30,<100,MISSING,44.2,36.6
26350-69,"대림비치",해운대구,31+,100-299,MISSING,53.4,28.0
26350-44,"유창맨션",해운대구,31+,<100,MISSING,50.5,22.7
26350-216,"유림빌라",해운대구,31+,<100,MISSING,53.8,27.9
26350-2346,"럭스빌비치",해운대구,0-10,<100,MISSING,38.9,55.0
26350-36,"서해재송",해운대구,31+,<100,KNOWN,53.6,26.8
26350-46,"이화맨션",해운대구,31+,<100,MISSING,48.8,31.1
26350-296,"라온힐즈",해운대구,31+,unknown,MISSING,17.5,31.6
26350-185,"영화",해운대구,31+,unknown,MISSING,49.9,19.2
26350-200,"상림팰리스빌",해운대구,21-30,unknown,MISSING,26.7,49.6
26350-2228,"센텀캐슬",해운대구,11-20,<100,MISSING,58.2,48.2
26350-204,"동서하이빌아파트",해운대구,21-30,<100,MISSING,19.7,36.9
26350-157,"삼익그린맨션",해운대구,31+,100-299,MISSING,51.6,32.6
26350-201,"아시아나비치",해운대구,21-30,<100,MISSING,36.9,36.8
26350-297,"그린빌라",해운대구,31+,unknown,MISSING,16.7,28.0
26350-284,"중동맨션",해운대구,31+,unknown,MISSING,40.3,13.6
26350-77,"삼성타워",해운대구,31+,unknown,MISSING,45.2,33.4
26350-276,"동부썬빌라",해운대구,31+,unknown,MISSING,21.2,31.6
26350-361,"동부문빌라",해운대구,21-30,unknown,MISSING,25.1,38.8
26350-299,"해운대석포로얄캐슬",해운대구,21-30,<100,MISSING,45.9,36.9
26350-292,"신우비치맨션",해운대구,31+,unknown,MISSING,36.1,28.0
26350-188,"영광그린파크(나)",해운대구,31+,unknown,MISSING,50.5,31.6
26350-61,"센텀대원",해운대구,21-30,<100,KNOWN,52.1,35.9
26350-59,"센텀삼흥",해운대구,31+,unknown,MISSING,48.3,20.0
26350-246,"성완아이렉스원룸",해운대구,21-30,unknown,MISSING,64.8,46.0
26350-8,"동부올림픽타운",해운대구,21-30,1000+,KNOWN,61.8,65.5
26350-108,"경남",해운대구,21-30,unknown,MISSING,42.3,38.8
26350-2127,"경동메르빌골드",해운대구,11-20,<100,KNOWN,37.2,51.7
26350-2145,"대우월드마크센텀",해운대구,11-20,300-499,KNOWN,58.6,73.7
26350-43,"영광그린파크(가)",해운대구,31+,unknown,MISSING,52.9,31.6
26320-137,"삼한힐파크",북구,21-30,500-999,KNOWN,61.6,65.6
26320-1460,"쌍용스윗닷홈",북구,21-30,500-999,KNOWN,60.3,64.9
26320-17,"삼정그린코아",북구,21-30,500-999,KNOWN,56.5,60.2
26320-1542,"화명롯데캐슬카이저",북구,11-20,1000+,KNOWN,63.8,81.7
26320-110,"동원",북구,31+,500-999,KNOWN,57.4,50.9
26320-1732,"더 래디언트 금정산",북구,0-10,1000+,KNOWN,65.9,82.7
26320-15,"부광맨션",북구,31+,<100,MISSING,53.5,28.2
26320-138,"화명그린힐",북구,21-30,100-299,KNOWN,59.9,56.1
26320-34,"금곡5단지주공",북구,31+,500-999,KNOWN,53.4,50.5
26320-1785,"포레나부산덕천2차",북구,0-10,500-999,KNOWN,74.0,85.4
26320-27,"구포현대",북구,31+,1000+,KNOWN,57.8,54.5
26320-153,"수정강변타운",북구,21-30,1000+,KNOWN,55.9,63.3
26320-1483,"덕천삼정그린코아",북구,11-20,500-999,KNOWN,57.4,67.4
26320-33,"금곡3단지주공",북구,31+,1000+,KNOWN,51.5,53.7
26320-1606,"구포동원로얄듀크비스타",북구,11-20,1000+,KNOWN,61.7,77.9
26320-115,"만덕2주공",북구,21-30,300-499,KNOWN,62.7,53.8
26320-1740,"이편한세상금정산",북구,0-10,1000+,KNOWN,61.9,85.4
26320-189,"유림노르웨이숲",북구,21-30,1000+,KNOWN,45.7,67.8
26320-1763,"포레나부산덕천1차",북구,0-10,500-999,KNOWN,72.1,83.0
26320-39,"화명한일유앤아이",북구,21-30,1000+,KNOWN,60.8,64.8
26320-152,"대림쌍용강변타운",북구,21-30,1000+,KNOWN,62.8,70.6
26320-1738,"화명푸르지오헤리센트",북구,0-10,500-999,KNOWN,63.9,85.3
26350-2384,"센텀리슈빌1단지",해운대구,0-10,100-299,KNOWN,63.9,73.4
26350-302,"협성프라임빌",해운대구,21-30,300-499,KNOWN,44.2,59.2
26320-1599,"엘가",북구,11-20,<100,MISSING,57.1,58.3
26320-61,"롯데낙천대",북구,21-30,1000+,KNOWN,72.3,68.7
26320-1659,"백양디이스트(1단지)",북구,11-20,1000+,MISSING,63.9,83.6
26320-1755,"백양산베스티움에코포레",북구,0-10,500-999,KNOWN,44.1,80.5
26320-1746,"백양디이스트(3단지)",북구,11-20,100-299,MISSING,67.5,66.1
26320-13,"벽산그린필드",북구,31+,100-299,KNOWN,41.7,42.3
26320-1489,"만덕3휴먼시아",북구,11-20,300-499,KNOWN,63.7,64.2
26320-32,"협진태양·조성아파트",북구,31+,500-999,KNOWN,51.0,50.6
26320-57,"화명유림",북구,21-30,500-999,KNOWN,51.4,55.8
26320-130,"그린숲속아파트",북구,21-30,500-999,KNOWN,43.4,54.9
26320-2,"곡산주택",북구,31+,<100,KNOWN,31.7,32.1
26320-46,"대림타운",북구,21-30,1000+,KNOWN,63.0,65.2
26320-1734,"덕천역이즈카운티",북구,0-10,100-299,KNOWN,72.6,68.6
26320-1759,"화명플리체비스타동원",북구,0-10,300-499,KNOWN,58.2,78.6
26320-107,"대성타워",북구,31+,500-999,MISSING,68.7,55.6
26320-42,"경남아너스빌",북구,21-30,500-999,KNOWN,58.8,61.7
26320-54,"코오롱",북구,21-30,300-499,KNOWN,48.2,55.1
26320-60,"대우이안",북구,21-30,500-999,KNOWN,65.0,65.0
26320-1653,"e편한세상화명힐스",북구,11-20,500-999,KNOWN,74.4,79.7
26320-38,"벽산삼협한솔",북구,31+,500-999,KNOWN,61.7,56.5
26320-1668,"태성캐슬",북구,0-10,<100,KNOWN,55.5,59.8
26320-65,"대방",북구,31+,100-299,KNOWN,59.4,46.1
26320-55,"화명2차현대",북구,21-30,500-999,KNOWN,61.2,63.7
26320-48,"벽산강변타운",북구,31+,1000+,KNOWN,56.9,57.3
26320-1640,"신화명리버뷰자이",북구,11-20,500-999,KNOWN,50.7,76.2
26290-55,"유창1",남구,31+,100-299,MISSING,34.0,37.8
26320-63,"코오롱하늘채1차",북구,21-30,1000+,MISSING,63.1,68.0
26320-1684,"어반펠리체",북구,0-10,<100,MISSING,62.7,53.3
26260-2119,"온천삼정그린코아더베스트",동래구,0-10,300-499,KNOWN,65.3,76.8
26320-176,"동원로얄듀크",북구,21-30,1000+,KNOWN,54.6,69.6
26320-1621,"동원역삼정그린코아",북구,11-20,500-999,KNOWN,58.3,71.8
26320-59,"화명현대",북구,21-30,100-299,KNOWN,66.6,57.0
26320-62,"코오롱하늘채2차",북구,21-30,1000+,KNOWN,64.8,67.9
26320-131,"도시화명그린(206)",북구,21-30,300-499,KNOWN,52.0,48.0
26320-1710,"해피투모로우",북구,0-10,100-299,KNOWN,60.2,66.6
26320-47,"도시화명그린(295)",북구,21-30,500-999,KNOWN,45.2,53.5
26320-156,"롯데",북구,21-30,500-999,KNOWN,59.0,64.4
26320-40,"금곡화목타운",북구,31+,500-999,KNOWN,50.6,52.2
26320-1742,"리버파크반도유보라",북구,0-10,500-999,KNOWN,73.4,82.3
26320-30,"유림(1차)",북구,31+,100-299,KNOWN,47.8,44.1
26320-1745,"백양디이스트(2단지)",북구,11-20,300-499,MISSING,59.0,72.9
26320-126,"협성파크",북구,21-30,300-499,KNOWN,56.4,51.5
26320-117,"만덕베르빌",북구,21-30,300-499,KNOWN,62.8,54.9
26320-113,"럭키",북구,31+,500-999,MISSING,61.5,55.9
26320-29,"유림2차(1)",북구,31+,100-299,KNOWN,54.4,47.6
26320-4,"구포대성아파트",북구,31+,300-499,MISSING,56.7,47.3
26320-70,"덕천주공1",북구,31+,1000+,MISSING,53.4,57.1
26320-1473,"상록한신휴플러스",북구,11-20,500-999,KNOWN,59.0,67.1
26320-119,"만덕현대",북구,21-30,100-299,KNOWN,58.5,46.0
26320-151,"화명뜨란채",북구,21-30,500-999,KNOWN,58.9,64.7
26320-1729,"구포2차봄여름가을겨울",북구,0-10,100-299,KNOWN,65.1,70.7
26320-28,"협진태양",북구,21-30,300-499,MISSING,62.4,53.9
26320-87,"아남프라자",북구,21-30,100-299,MISSING,71.7,53.9
26320-103,"성훈강변",북구,21-30,100-299,MISSING,46.3,49.3
26320-71,"덕천한라",북구,31+,100-299,KNOWN,57.5,35.2
26320-77,"부국2",북구,31+,<100,MISSING,63.4,28.0
26320-6,"대진",북구,31+,100-299,MISSING,54.6,33.9
26320-16,"삼경장미",북구,31+,100-299,KNOWN,48.7,39.8
26320-145,"유림노르웨이숲",북구,21-30,100-299,KNOWN,51.3,53.9
26320-116,"만덕대진",북구,31+,unknown,MISSING,48.7,14.4
26320-31,"유림2차(2)",북구,31+,100-299,KNOWN,51.6,48.3
26320-123,"삼성",북구,31+,500-999,MISSING,63.9,51.2
26320-1484,"구포유림노르웨이숲2차",북구,11-20,100-299,KNOWN,51.3,59.0
26320-136,"화명리버빌2차",북구,21-30,500-999,KNOWN,55.7,63.8
26320-25,"태평양그린",북구,31+,unknown,MISSING,36.1,33.4
26320-35,"금곡6단지주공",북구,31+,500-999,KNOWN,56.7,49.5
26320-85,"승산벽산",북구,31+,100-299,KNOWN,57.9,37.6
26320-1642,"화명2차동원로얄듀크비스타",북구,11-20,300-499,KNOWN,66.4,72.2
