id,aptSeq,mgmBldrgstPk,name,normalizedName,sido,sigungu,sggCd,umdName,umdCd,jibun,roadAddress,jibunAddress,latitude,longitude,geocodeQuality,buildYear,useApprovalDate,mainBuildingCount,totalHouseholds,parkingCount,createdAt,updatedAt
1278,26110-929,,보수동해마루아파트2차,보수동해마루아파트2차,부산,중구,26110,보수동2가,12100,65-2,,,35.105584841333,129.022492094413,normalized,2017,,,,,2026-08-13T06:41:35.980Z,2026-08-13T06:41:35.980Z
51,26110-931,,보수3차봄여름가을겨울,보수3차봄여름가을겨울,부산,중구,26110,보수동3가,12200,73-35,,,35.10349807474498,129.0223626700629,normalized,2017,,,,,2026-08-13T05:44:40.834Z,2026-08-13T06:41:31.520Z
1293,26110-938,,서원블루오션F동,서원블루오션F동,부산,중구,26110,보수동3가,12200,75-1,,,35.1034891945064,129.021922721372,normalized,2019,,,,,2026-08-13T06:42:08.827Z,2026-08-13T06:42:08.827Z
1284,26110-941,,로얄스카이캐슬,로얄스카이캐슬,부산,중구,26110,부평동4가,12600,15-1,,,35.1021597648756,129.022906395093,normalized,2020,,,,,2026-08-13T06:41:55.252Z,2026-08-13T06:41:55.252Z
1285,26110-942,,엘스퀘어,엘스퀘어,부산,중구,26110,중앙동4가,10700,85-5,,,35.1071330098437,129.037772398343,normalized,2020,,,,,2026-08-13T06:41:56.824Z,2026-08-13T06:41:56.824Z
1271,26110-943,,보수에코팰리스,보수에코팰리스,부산,중구,26110,보수동3가,12200,27-6,,,35.1045793548747,129.021560361516,normalized,2020,,,,,2026-08-13T06:41:25.828Z,2026-08-13T06:41:25.828Z
1296,26110-947,,목연정M팰리스,목연정M팰리스,부산,중구,26110,부평동4가,12600,24-2,,,35.1013475471316,129.023299722212,normalized,2021,,,,,2026-08-13T06:42:13.393Z,2026-08-13T06:42:13.393Z
1287,26110-954,,한웅드리머스,한웅드리머스,부산,중구,26110,보수동3가,12200,61-19,,,35.1041420134644,129.023196637927,normalized,2022,,,,,2026-08-13T06:41:59.785Z,2026-08-13T06:41:59.785Z
2032,26140-100,,송도맨션,송도맨션,부산,서구,26140,암남동,12400,171-18,,,35.07860198168206,129.021615239126,normalized,1981,,,,,2026-08-13T07:48:24.387Z,2026-08-13T12:23:55.903Z
2003,26140-1006,,에르모사,에르모사,부산,서구,26140,서대신동1가,10400,143,,,35.1089035517079,129.015100410915,normalized,2011,,,,,2026-08-13T07:46:34.359Z,2026-08-13T12:23:55.455Z
1922,26140-102,,기산비치타운,기산비치타운,부산,서구,26140,암남동,12400,354-1,,,35.07663075209825,129.0167125245203,normalized,1996,,,,,2026-08-13T07:42:04.025Z,2026-08-13T12:23:54.254Z
2015,26140-1039,,대승스위트,대승스위트,부산,서구,26140,서대신동3가,10600,293-6,,,35.11327056933961,129.0151597065463,normalized,2012,,,,,2026-08-13T07:47:17.968Z,2026-08-13T12:23:55.655Z
1964,26140-104,,송도자유비치,송도자유비치,부산,서구,26140,암남동,12400,81-12,,,35.08173232949695,129.0194736016925,normalized,1997,,,,,2026-08-13T07:44:25.387Z,2026-08-13T12:23:54.814Z
